mean_energy,std_energy,median_energy,top_bin_1,top_bin_2,top_bin_3,time_mean_mean,time_mean_std,file_id,species
-49.35459069669108,19.311873759209877,-47.989990234375,43,44,42,-49.35459069669108,3.3579611286077133,dlg_ggpd_n200-g2-m1-2003-c3-track-85,american_bullfrog
-37.331419688885006,21.852685565525654,-30.34142780303955,41,33,40,-37.331419688885006,2.0514194388867804,dlg_ggpd_n200-g2-m1-2003-c3-track-87,american_bullfrog
-40.43826359090354,14.812684041880594,-39.897470474243164,45,44,46,-40.43826359090354,2.9118095068226038,dlg_ggpd_n200-g2-m1-2003-c3-track-89,american_bullfrog
-37.853873719212764,16.32396787946453,-34.22209930419922,41,40,42,-37.853873719212764,2.895180687178551,dlg_ggpd_n200-g2-m1-2003-c3-track-92,american_bullfrog
-37.80610307062308,12.568036568212003,-38.28000259399414,40,41,32,-37.80610307062308,2.3098317085397406,dlg_ggpd_n200-g2-m1-2013-c3-track-80,american_bullfrog
-54.40769753710576,15.840796752596075,-55.94759750366211,44,45,43,-54.40769753710576,2.9065535807436746,dlg_ggpd_n200-g2-m1-2013-c3-track-81,american_bullfrog
-37.855587646538034,14.561414953075802,-35.45550727844238,43,42,41,-37.855587646538034,4.259010883183858,dlg_ggpd_n200-g2-m1-2013-c3-track-82,american_bullfrog
-47.34770092032763,16.979128354455117,-48.71135711669922,43,42,44,-47.34770092032763,5.504746292985975,dlg_ggpd_n200-g2-m1-2013-c3-track-84,american_bullfrog
-49.331056142178326,19.320396352062826,-47.971405029296875,43,44,42,-49.331056142178326,3.3291349822228926,dlg_ggpd_n200-g2-m1-2013-c3-track-87,american_bullfrog
-37.34576605573262,21.857698956991587,-30.334184646606445,41,33,40,-37.34576605573262,2.0792966073698893,dlg_ggpd_n200-g2-m1-2013-c3-track-89,american_bullfrog
-40.445776940066274,14.815808959087887,-39.88979911804199,45,44,46,-40.445776940066274,2.9120866861343617,dlg_ggpd_n200-g2-m1-2013-c3-track-91,american_bullfrog
-37.849448051294985,16.34166426124676,-34.189008712768555,41,40,42,-37.849448051294985,2.9027127489697118,dlg_ggpd_n200-g2-m1-2013-c3-track-94,american_bullfrog
-31.032307096966598,4.875148927652052,-31.442548751831055,2,1,40,-31.032307096966598,1.5582419831626604,Frog_Calls,american_bullfrog
-41.58270193235365,6.276594150425023,-42.481388092041016,1,2,0,-41.58270193235365,2.942830932319003,Large_American_bullfrog_making_its_call,american_bullfrog
-45.40175671377619,10.958070909839554,-45.197561264038086,44,43,45,-45.40175671377619,6.665998894489817,ML107434,american_bullfrog
-38.09108726334544,9.735755442140638,-39.96942710876465,19,18,20,-38.09108726334544,5.405103648337152,ML110932,american_bullfrog
-30.068703996436778,7.717463472726004,-31.855131149291992,0,1,26,-30.068703996436778,4.632348630189604,ML144955,american_bullfrog
-38.72622744341461,6.847194382892797,-39.20663833618164,53,54,52,-38.72622744341461,2.4647770227025037,ML164884,american_bullfrog
-35.718433644700355,10.950025098650132,-37.51493263244629,11,9,10,-35.718433644700355,4.705110407801719,ML166449,american_bullfrog
-37.95518882349652,11.492722360355984,-41.29612922668457,26,3,5,-37.95518882349652,7.816720985474258,ML166450,american_bullfrog
-46.10539441806396,16.348384780444192,-45.29131317138672,9,8,10,-46.10539441806396,14.395677181034,ML166451,american_bullfrog
-43.71124070848224,17.19401462625096,-43.29854202270508,42,27,41,-43.71124070848224,14.744017972493278,ML166452,american_bullfrog
-42.07298816889179,16.148455276890406,-39.19142150878906,27,28,35,-42.07298816889179,14.228921417364536,ML166453,american_bullfrog
-41.27612869291114,15.049864352655778,-38.97126579284668,27,26,28,-41.27612869291114,14.010418755265155,ML166454,american_bullfrog
